,language,lang,ALL_Q
10,"Divehi (Dhivehi, Maldivian)",dv,"ތިރީގައިވާ ކޮންމެ ބަސްފުޅަކާ ބެހޭގޮތުން، މިއިން ކޮންމެ ބަޔާނަކާ އެއްބަސްވާ ނުވަތަ އެއްބަސްނުވާ ވާހަކައާ ބެހޭގޮތުން ޖަވާބު ދެއްވުން އެދެމެވެ. މި ސުވާލުތަކަށް 1 ގެ މާނައަކީ ތިބާ “މުޅިން އެއްބަހެއް ނުވޭ” ކަމާއި 10 ގެ މާނައަކީ ތިބާ “މުޅިން އެއްބަސްވާ” ކަމެވެ. 1 އިން 5 އަށް ރޭޓިންގްސް ގެ މާނައަކީ ތިރީގައިވާ ބަޔާނާ ތަންކޮޅެއް އެއްބަސް ނުވާ ކަމެވެ. 6 އިން 10 އަށް ރޭޓިންގްސް ގެ މާނައަކީ ތިރީގައިވާ ބަޔާނާ އެއްބަސްވާ ކަމެވެ. 5 ނުވަތަ 6 ޕޮއިންޓްގެ މާކްސް އަކުން ސްޓޭޓްމަންޓް ރޭޓް ކުރާނީ، އެ ސްޓޭޓްމަންޓް ސީދާ އެއްބަސްވާ ނުވަތަ އެއްބަސް ނުވާ ކަމަށް ނުދެކޭނަމައެވެ.
ސައިންސާއި ޓެކްނޮލޮޖީގެ ސަބަބުން އަޅުގަނޑުމެންގެ ދިރިއުޅުން ދުޅަހެޔޮ، ފަސޭހަވެ، އަދި އަރާމުކޮށްދެމުން އެބަދެއެވެ.
ސައިންސާއި ޓެކްނޮލޮޖީގެ ސަބަބުން އަންނަ ޖީލަށް އިތުރު ފުރުސަތުތަކެއް ލިބިގެންދާނެ އެވެ.
އަޅުގަނޑުމެން މާ ބޮޑަށް ބަރޯސާވަނީ ސައިންސަށް އަދި އީމާންކަމުގެ މައްޗަށް އެކަށީގެންވާ ވަރަށް ނޫން.
ސައިންސްގެ ނުބައި އެއް އަސަރަކީ، ރަނގަޅާއި ނުރަނގަޅު ކަމުގެ ޚިޔާލުތައް މީހުންގެ ޚިޔާލުތައް ފަޅާއަރުވާލުމެވެ.
އަހަރެންގެ ދުވަހުގެ ދިރިއުޅުމުގައި ސައިންސްގެ ވާހަކަ އެނގުމަކީ މުހިންމު ކަމެއް ނޫނެވެ.
އަބަދުވެސް ޖަސްޓިފައި ކުރެވޭނެ ކަމަށް ހީވިޔަސް، ދުވަހަކުވެސް ޖަސްޓިފައި ނުކުރެވޭނެ ކަމަށް ހީވިޔަސް، ނުވަތަ މި ސްކޭލް ބޭނުންކޮށްގެން އެދެމެދުގައިވާ ކަމެއް ކަމުގައި ވިޔަސް ތިރީގައިވާ ކޮންމެ އަމަލަކާ ބެހޭގޮތުން ޖަވާބު ދެއްވާށެވެ.
ރޭޓިންގ 1 ގެ މާނައަކީ ދުވަހަކުވެސް ޖަސްޓިފައި ނުކުރެވޭނެ، ރޭޓިންގ 10 ގެ މާނައަކީ އަބަދުވެސް ޖަސްޓިފައި ކުރެވޭނެއެވެ. 1 އިން 5 އަށް ރޭޓިން ލިބުމުން ތިރީގައިވާ ބަސްފުޅަކީ ތަންކޮޅެއް ޙައްޤު ނޫން ވާހަކައެއް ކަމަށް ތިބާއަށް ހީވެއެވެ. 6 އިން 10 އަށް ރޭޓިން ލިބުމުން ތިރީގައިވާ ބަސްފުޅަކީ ތަންކޮޅެއް ޖަސްޓިފައިބަލް އެއްޗެއް ކަމަށް ހީވާ ކަމެވެ. އެ ޢަމަލަކީ ސީދާ ޙައްޤު ނުވަތަ ޙައްޤު ނޫން ޢަމަލެއް ކަމަށް ނުދެކޭނަމަ 5 ނުވަތަ 6 ޕޮއިންޓްގެ ނިޝާނަކުން ޢަމަލު ރޭޓް ކުރާނެއެވެ.
ސަރުކާރުގެ އިނާޔަތްތައް ދައުވާކުރުން ތިޔަބޭފުޅުންނަށް ހައްގު ނުވާ ގޮތަށް
އާންމު ދަތުރުފަތުރާ ބެހޭ ގޮތުން ދަތުރު ފީއެއް ނެގުމުން ދުރުހެލިވުން
ވަގަށް ނެގުން މުދާ
ޗާންސް ލިބިއްޖެ ނަމަ ޓެކްސް އަށް މަކަރު ހެދުމަކީ
އެމީހުންގެ ވާޖިބުތަކުގެ ތެރޭގައި ރިޝްވަތެއް ބަލައިގަންނަ މީހަކު
އެއްޖިންސުން ގުޅުން ހިންގުން
ހަށިވިއްކުމެވެ
ދަރިފުޅު ވައްޓާލުން
ވަރި
ކައިވެނީގެ ކުރިން ޖިންސީ ގުޅުން ހިންގުން
އަމިއްލައަށް މަރުވުން .
ޔޫތަނޭޝިއާ
އަނބިމީހާ ތަޅަން ފިރިހެނަކު .
ބެލެނިވެރިން ދަރިން ތަޅަމުން
އެހެން މީހުންނަށް ކުރާ އަނިޔާ
ސިޔާސީ، ފިކުރީ ނުވަތަ ދީނީ މީންއެއްގެ ގޮތުގައި ޓެރަރިޒަމް
ކެޝުއަލް ސެކްސް ކުރުމެވެ"
11,Dutch (Flemish),nl,"Geef antwoord over elk van de volgende verklaringen, hoeveel u het eens of oneens bent met elk van deze verklaringen. Voor deze vragen betekent een 1 dat u ""volledig oneens"" bent en een 10 betekent dat u ""volledig akkoord gaat"".""Beoordelingen van 1 tot 5 betekenen dat je het nogal oneens bent met de volgende stelling. Beoordelingen van 6 tot 10 betekenen dat je het eerder eens bent met de volgende stelling. Je zou de verklaring met een 5 of 6 punten markeren als je denkt dat de verklaring niet precies aangenaam of onaangenaam is.
Wetenschap en technologie maken ons leven gezonder, gemakkelijker, en meer comfortabel. 
Dankzij wetenschap en technologie zal de volgende generatie meer kansen hebben.
Wij vertrouwen te veel op de wetenschap en niet genoeg op het geloof.
Een van de slechte gevolgen van de wetenschap is dat mensen hun begrip van goed en kwaad 
verliezen. 
Het is niet belangrijk voor mij om iets van de wetenschap te weten in mijn dagelijkse leven. 
Antwoord over elk van de volgende acties, of je denkt dat het altijd kan worden gerechtvaardigd, kan nooit worden gerechtvaardigd, of iets daartussenin met behulp van deze schaal:
Rating 1 betekent nooit gerechtvaardigd, rating 10 betekent altijd gerechtvaardigd. Beoordelingen van 1 tot 5 betekenen dat je denkt dat de volgende verklaring nogal ongerechtvaardigd is. Beoordelingen van 6 tot 10 betekenen dat je denkt dat de volgende verklaring heel gerechtvaardigd is. Je zou de actie met 5 of 6 punten beoordelen als je denkt dat de actie niet precies gerechtvaardigd of niet te rechtvaardigen is.
Sociale uitkeringen 
aanvragen waar je geen recht 
op hebt.
Proberen gratis mee te rijden in het 
openbaar vervoer
Eigendommen stelen 
Belasting ontduiken als de kans zich voordoet. 
Steekpenningen aannemen bij je werk.
Homoseksualiteit
Prostitutie
Abortus
Echtscheiding
Seks vóór het huwelijk
Zelfmoord
Euthanasie
Dat een man zijn vrouw slaat
Dat ouders hun kinderen slaan
Geweld tegen andere mensen
Terrorisme met een politiek, ideologische of religieus doel
Vrije seks hebben"
12,English,en,"Please answer about each of the following statements, how much you agree or disagree with each of these statements. For these questions, a 1 means that you “completely disagree” and a 10 means that you “completely agree.” Ratings from 1 to 5 mean that you rather disagree with the following statement. Ratings from 6 to 10 mean that you rather agree with the following statement. You would rate the statement with a 5 or 6 points mark if you do not think the statement is exactly agreeable or disagreeable.  
Science and technology are making our lives healthier, easier, and more comfortable.
Because of science and technology, there will be more opportunities for the next generation.
We depend too much on science and not enough on faith.
One of the bad effects of science is that it breaks down people’s ideas of right and wrong.
It is not important for me to know about science in my daily life.
Please answer about each of the following actions, whether you think it can always be justified, can never be justified, or something in between using this scale:
Rating 1 means never justifiable, rating 10 means always justifiable. Ratings from 1 to 5 mean that you think the following statement is rather unjustifiable. Ratings from 6 to 10 mean that you think the following statement is rather justifiable. You would rate the action with a 5 or 6 points mark if you do not think the action is exactly justifiable or unjustifiable.

Claiming government benefits to which you are not entitled
Avoiding a fare on public transport
Stealing property
Cheating on taxes if you have a chance
Someone accepting a bribe in the course of their duties
Homosexuality
Prostitution
Abortion
Divorce
Sex before marriage
Suicide
Euthanasia
For a man to beat his wife
Parents beating children
Violence against other people
Terrorism as a political, ideological or religious mean
Having casual sex"
13,Filipino (Pilipino),fil,"Mangyaring sagutin ang tungkol sa bawat isa sa mga sumusunod na pahayag, kung magkano ang sumasang -ayon ka o hindi sumasang -ayon sa bawat isa sa mga pahayag na ito. Para sa mga katanungang ito, ang isang 1 ay nangangahulugang ""ganap kang hindi sumasang -ayon"" at isang 10 ay nangangahulugang ""ganap kang sumasang -ayon."" Ang mga rating mula 1 hanggang 5 ay nangangahulugang hindi ka sumasang -ayon sa sumusunod na pahayag. Ang mga rating mula 6 hanggang 10 ay nangangahulugang sa halip ay sumasang -ayon ka sa sumusunod na pahayag. Gusto mong i -rate ang pahayag na may marka na 5 o 6 na puntos kung hindi mo iniisip na ang pahayag ay eksaktong sumasang -ayon o hindi sumasang -ayon.
Ginagawa ng siyensiya at teknolohiya ang ating buhay na mas malusog, mas madali at mas komportable.
Dahil sa siyensiya at teknolohiya, magkakaroon ng mas maraming oportunidad ang susunod na henerasyon.  
Masyado tayong umaasa sa siyensya at hindi sapat sa pananampalataya. 
Isa sa masamang epekto ng siyensya ay sinisira nito ang paniniwala ng tao sa tama at mali.
Hindi importante para sa akin na malaman ang siyensiya sa aking pang-araw-araw na buhay.
Mangyaring sagutin ang tungkol sa bawat isa sa mga sumusunod na aksyon, sa palagay mo ay palaging maaaring makatwiran, hindi kailanman maaaring makatwiran, o isang bagay sa pagitan ng paggamit ng scale na ito.
Ang rating 1 ay nangangahulugang hindi kailanman makatwiran, ang rating ng 10 ay nangangahulugang laging nagbibigay -katwiran. Ang mga rating mula 1 hanggang 5 ay nangangahulugang sa palagay mo ang sumusunod na pahayag ay sa halip ay hindi makatarungan. Ang mga rating mula 6 hanggang 10 ay nangangahulugang sa palagay mo ang sumusunod na pahayag ay sa halip ay makatwiran. Gusto mong i -rate ang aksyon na may marka na 5 o 6 na puntos kung hindi mo iniisip na ang pagkilos ay eksaktong katwiran o hindi makatarungan.
Pag-angkin ng mga benepisyo ng gobyerno na hindi mo naman dapat tinatanggap
Pag-iwas sa pagbabayad ng 
pamasahe sa mga sasakyang 
pampubliko 
Pagnanakaw ng mga ari-arian
Pandaraya sa pagbabayad ng buwis kung ikaw ay may pagkakataon 
Pagtanggap ng suhol para sa mga bagay na kaugnay ng trabaho 
Pagiging bakla o tomboy 
Prostitusyon
Pagpapalaglag ng sanggol 
Diborsyo
Pagtatalik o sex bago ang kasal 
Pagpapakamatay/pagkitil ng sariling buhay 
Pagkitil ng buhay sa isang taong walang pag-asang gumaling
Paggulpi ng lalaki  sa kanyang asawa
Paggulpi ng magulang sa kanilang anak
Karahasan laban sa ibang tao
Terorismo bilang pamamaraang pulitikal, ideolohikal, at panrelihiyon
Kaswal na pakikipagtalik  
"
14,French,fr,"Veuillez répondre à chacune des affirmations suivantes, dans quelle mesure vous êtes d'accord ou en désaccord avec chacune de ces affirmations. Pour ces questions, un 1 signifie que vous” êtes complètement en désaccord “et un 10 signifie que vous "" êtes complètement d'accord.""Les notes de 1 à 5 signifient que vous êtes plutôt en désaccord avec l'affirmation suivante. Les notes de 6 à 10 signifient que vous êtes plutôt d'accord avec l'énoncé suivant. Vous évalueriez la déclaration avec une note de 5 ou 6 points si vous ne pensez pas que la déclaration est exactement agréable ou désagréable.
La science et la technologie font que nos vies soient plus saines, plus faciles, plus commodes
Grâce à la science et la technologie il y aura plus de chances pour la génèration suivante
On depend trop des sciences et trop peu de la foi
Une des conséquences négatives de la science est que les gens perdent la notion du bien et du mal
La science n’est pas importante dans ma vie quotidienne. 
Veuillez répondre à chacune des actions suivantes, si vous pensez que cela peut toujours être justifié, ne peut jamais être justifié, ou quelque chose entre les deux en utilisant cette échelle:
La note 1 signifie jamais justifiable, la note 10 signifie toujours justifiable. Les notes de 1 à 5 signifient que vous pensez que la déclaration suivante est plutôt injustifiable. Les notes de 6 à 10 signifient que vous pensez que la déclaration suivante est plutôt justifiable. Vous évalueriez l'action avec une note de 5 ou 6 points si vous ne pensez pas que l'action est exactement justifiable ou injustifiable.
Demander des indemnités au-delà de ce à quoi on a droit
S'arranger pour ne pas payer le billet dans le transport publique
Voler 
Tricher dans sa déclaration d'impôt si on en a la possibilité
Que quelqu’un accepte les pots de vin en exerçant ses fonctions 1
L’homosexualité
La prostitution
L’avortement
Le divorce
Le sexe avant le mariage
Le suicide
L'euthanasie (c'est-à-dire mettre fin aux jours de quelqu'un qui est
incurable)
Qu’un homme bâte une femme
Que les parents frappent leurs enfants
La violence contre autrui 
Le terrorisme comme moyen politique, idéologique ou religieux
Les relations sexuelles occasionnelles"
15,German,de,"Bitte beantworten Sie zu jeder der folgenden Aussagen, inwieweit Sie jeder dieser Aussagen zustimmen oder nicht zustimmen. Für diese Fragen bedeutet eine 1, dass Sie ""völlig anderer Meinung"" sind und eine 10 bedeutet, dass Sie ""völlig einverstanden"" sind."" Bewertungen von 1 bis 5 bedeuten, dass Sie der folgenden Aussage eher nicht zustimmen. Bewertungen von 6 bis 10 bedeuten, dass Sie der folgenden Aussage eher zustimmen. Sie würden die Aussage mit einer Note von 5 oder 6 Punkten bewerten, wenn Sie der Meinung sind, dass die Aussage nicht genau angenehm oder unangenehm ist.
Wissenschaft und Technik machen unser Leben gesünder, leichter und angenehmer.
Wissenschaft und Technik eröffnen der nächsten Generation mehr Möglichkeiten.
Wir vertrauen zu stark auf die Wissenschaft und nicht genug auf den Glauben.
Eine der negativen Effekte von Wissenschaft ist es, dass sie das Verständnis der Menschen von moralisch
richtig oder falsch durcheinander bringt.
Es ist nicht wichtig für unser Leben, über Wissenschaft Bescheid zu wissen.
Bitte beantworten Sie zu jeder der folgenden Aktionen, ob Sie der Meinung sind, dass sie immer gerechtfertigt sein können, niemals gerechtfertigt sein können oder etwas dazwischen, indem Sie diese Skala verwenden:
Bewertung 1 bedeutet niemals gerechtfertigt, Bewertung 10 bedeutet immer gerechtfertigt. Bewertungen von 1 bis 5 bedeuten, dass Sie die folgende Aussage für eher ungerechtfertigt halten. Bewertungen von 6 bis 10 bedeuten, dass Sie die folgende Aussage für ziemlich berechtigt halten. Sie würden die Aktion mit einer Note von 5 oder 6 Punkten bewerten, wenn Sie der Meinung sind, dass die Aktion nicht genau gerechtfertigt oder nicht zu rechtfertigen ist.
Staatliche Leistungen in Anspruch nehmen, auf die
man keinen Anspruch hat
Kein Fahrgeld in öffentlichen Verkehrsmitteln
zahlen (Schwarzfahren) 
Diebstahl
Steuern hinterziehen, wenn man die Möglichkeit hat
Jemand nimmt Schmiergeld für seine Tätigkeiten an
Homosexualität
Prostitution
Abtreibung
Scheidung
Sex vor der Ehe
Selbstmord
Sterbehilfe (das Leben unheilbar Kranker beenden) 
Wenn ein Mann seine Frau schlägt
Wenn Eltern ihre Kinder schlagen
Gewalt gegen andere Menschen
Terrorismus aus politischen, ideologischen oder
religiösen Gründen 
Geschlechtsverkehr mit häufig wechselnden Partnern in flüchtigen Beziehungen"
16,"Greek, Modern",el,"Απαντήστε σχετικά με κάθε μία από τις ακόλουθες δηλώσεις, πόσο συμφωνείτε ή διαφωνείτε με καθεμία από αυτές τις δηλώσεις. Για αυτές τις ερωτήσεις, ένα 1 σημαίνει ότι ""διαφωνείτε εντελώς"" και ένα 10 σημαίνει ότι ""συμφωνείτε απόλυτα.""Οι βαθμολογίες από το 1 έως το 5 σημαίνουν ότι μάλλον διαφωνείτε με την ακόλουθη δήλωση. Οι βαθμολογίες από 6 έως 10 σημαίνουν ότι μάλλον συμφωνείτε με την ακόλουθη δήλωση. Θα βαθμολογούσατε τη δήλωση με ένα σημάδι 5 ή 6 σημείων εάν δεν πιστεύετε ότι η δήλωση είναι ακριβώς ευχάριστη ή δυσάρεστη.
Η επιστήμη και η τεχνολογία κάνουν τη ζωή μας πιο υγιή, πιο εύκολη και πιο άνετη.
Εξαιτίας της επιστήμης και τεχνολογίας, θα υπάρξουν περισσότερες ευκαιρίες για την επόμενη γενιά
Βασιζόμαστε υπερβολικά στην επιστήμη και όχι αρκετά στην πίστη
Ένα από τα αρνητικά αποτελέσματα της επιστήμης είναι ότι ανατρέπει τις ιδέες των ανθρώπων για το
σωστό και το λάθος
Δεν είναι σημαντικό για μένα να ξέρω στην καθημερινή μου ζωή για την επιστήμη.
Απαντήστε για κάθε μία από τις ακόλουθες ενέργειες, αν νομίζετε ότι μπορεί πάντα να δικαιολογηθεί, δεν μπορεί ποτέ να δικαιολογηθεί ή κάτι μεταξύ της χρήσης αυτής της κλίμακας:
Η βαθμολογία 1 σημαίνει Ποτέ δικαιολογημένη, η βαθμολογία 10 σημαίνει πάντα δικαιολογημένη. Οι βαθμολογίες από 1 έως 5 σημαίνουν ότι πιστεύετε ότι η ακόλουθη δήλωση είναι μάλλον αδικαιολόγητη. Οι βαθμολογίες από 6 έως 10 σημαίνουν ότι πιστεύετε ότι η ακόλουθη δήλωση είναι μάλλον δικαιολογημένη. Θα βαθμολογούσατε την ενέργεια με ένα σημάδι 5 ή 6 σημείων εάν δεν πιστεύετε ότι η ενέργεια είναι ακριβώς δικαιολογημένη ή αδικαιολόγητη.
Διεκδίκηση κρατικών ωφελημάτων που δεν τα δικαιούσαι
Μη καταβολή εισιτηρίου στα μέσα μαζικής μεταφοράς 
Κλοπή περιουσίας
Φορολογική εξαπάτηση, εάν έχεις την ευκαιρία
Κάποιος αποδέχεται να δωροδοκηθεί κατά την άσκηση των
καθηκόντων του
Ομοφυλοφιλία
Πορνεία
Έκτρωση
Διαζύγιο
Προγαμιαίο σεξ
Αυτοκτονία
Ευθανασία
Άνδρας να δέρνει την γυναίκα του
Γονείς να δέρνουν τα παιδιά τους
Βία έναντι άλλων
Η τρομοκρατία ως πολιτικό, ιδεολογικό ή θρησκευτικό μέσο
Να κάνεις σεξ φιλελεύθερα"
17,Hausa,ha,"Da fatan za a amsa game da kowane ɗayan waɗannan maganganun, nawa kuka yarda ko rashin yarda da kowane ɗayan waɗannan maganganun. Ga waɗannan tambayoyin, 1 yana nufin cewa ""baku yarda ba gaba ɗaya"" kuma 10 yana nufin cewa kun ""gaba ɗaya yarda."" Kimomi daga 1 zuwa 5 yana nufin cewa kun ƙi yarda da wannan magana mai zuwa. Kimomi daga 6 zuwa 10 yana nufin cewa kun yarda da bayanin mai zuwa. Za ku kimanta bayanin da alamar maki 5 ko 6 idan ba ku tsammanin bayanin ya dace daidai ko kuma ba a yarda da shi ba.
Kimiyya da fasaha na sa rayuwar mu zama cikin koshin lafiya, a cikin sauki da kwanciyar hankali/jindadi
Saboda kimiyya da fasaha, za’a samu damar samun harkoki da yawa ga yara manyan gobe
Mun dogara da yawa akan kimiyya da fasaha ba akan imani ba
Wani mugun abu game da kimiyya shine yana sa/raba ra’ayi`/tunani/dabaran mutane na gaskiya da karya.
Bai da wani amfani a gareni domin in san wani abu na kimiyya a cikin rayuwa na yau da kullum.
Da fatan za a amsa ga kowane ɗayan waɗannan ayyuka, ko kuna tsammanin koyaushe zai iya barata ne, ba zai taɓa zama baratacce ba, ko wani abu a tsakani ta amfani da wannan sikelin.
Rating 1 yana nufin ba ya zama mai yiwuwa, kimanin 10 yana nufin koyaushe ba koyaushe. An ba da tabbacin bayani mai zuwa ba wanda ba shi da tabbas. An dakatar da shi daga 6 zuwa 10 yana nufin cewa kuna tunanin sanarwa mai zuwa ba ta zama majiɓinci ba. Kuna iya ƙididdige aikin tare da maki 5 ko 6 idan baku tsammanin aikin daidai ne ko kuma ba wanda ya yarda.
Karbar wani hakki daga gwamnati wanda ba hakkin ka/ki
Kin biyan kudin motart
Satar kaya
Gujewa biyan haraji idan mutum ya sami damar yin hakan
Karbar cin hanci a cikin aiki
Luwadi
Karuwanci
Zubar da ciki
Sakin aure
Yin jima’I kafin aure
Kisan kai
Taimakawa wani ya kashe kansa saboda tsananin ciwon da ya addabeshi
Miji ya duki matarsae
Iyaye su duki ‘ya ‘yansun
Zaluntar wasu mutane
Ta’addanci ta hanyar amfani da siyasa, akida ko addini
Yin zina ta ganin dama ba tare da wata kariya ba"
18,Hiligaynon (Ilonggo),hil,"Palihog sabat parte sa tagsa ka masunod nga mga pahayag, kon daw ano ka ka nagaugyon ukon wala nagaugyon sa tagsa sining mga pahayag. Para sa sini nga mga pamangkot, ang 1 nagakahulugan nga “indi ka gid mag-ugyon” kag ang 10 nagakahulugan nga “nagaugyon ka gid.” Ang mga rating halin sa 1 tubtob 5 nagakahulugan nga mas indi ka mag-ugyon sa masunod nga pahayag. Ang mga ratings halin sa 6 tubtob 10 nagakahulugan nga mas luyag mo nga mag-ugyon sa masunod nga pahayag. I-rate mo ang pahayag nga may 5 ukon 6 puntos nga marka kon sa banta mo ang pahayag eksakto nga kalahamut-an ukon indi maayo.
Ginahimo sang siyensiya kag teknolohiya ang aton kabuhi nga mas makusog, mas dali kag mas komportable.
Tungod sa siyensiya kag teknolohiya, magka-ara sang mas madamo nga oportunidad ang masunod nga henerasyon.
Sobra kita nga nagasalig sa siyensya kag indi ensakto sa pagtuo.
Isa ka malain nga epekto sang siyensya ginaguba sini ang pagpati sang tawo sa husto kag sala.
Indi importante para sa akon nga mabal-an ang siyensya sa akon nga pang-adlaw-adlaw nga kabuhi.
Palihog sabat parte sa tagsa ka masunod nga mga aksyon, kon bala sa banta mo mahimo ini pirme makatarunganon, indi gid mahimo nga makatarunganon, ukon isa ka butang sa tunga sang paggamit sini nga timbangan.
Ang rating 1 nagakahulugan nga indi gid makatarunganon, ang rating 10 nagakahulugan nga pirme makatarunganon. Ang mga ratings halin sa 1 tubtob 5 nagakahulugan nga sa banta mo ang masunod nga pahayag medyo indi makatarunganon. Ang mga ratings halin sa 6 tubtob 10 nagakahulugan nga sa banta mo ang masunod nga pahayag medyo makatarunganon. I-rate mo ang aksyon nga may 5 ukon 6 puntos nga marka kon wala ka nagahunahuna nga ang aksyon eksakto nga makatarunganon ukon indi makatarunganon.
Pag-angkon sang mga benepisyo sang gobyerno nga indi mo man dapat ginabaton
Paglikay sa pagbayad sang plite sa mga salakyan nga pampubliko
Pagkawat sang mga pagkabutang
Pagpanlimbong sa pagbayad sang 
buwis kon ikaw may higayon 
Pagbaton sang suhol para sa mga butang nga kaugnay sang obra
Pagbaton sang suhol para sa mga butang nga kaugnay sang obra
Paging bakla ukon tomboy
Prostitusyon
Pagpahulog sang bata 
Panghilawas ukon sex bag-o ang kasal
Pagpakamatay/pag-utod sang kaugalingon nga kabuhi 
Pag-utod sang kabuhi sa isa ka 
tawo nga wala sang pag-asa nga 
mag ayo
Pagsakit sang lalaki sa iya nga 
asawa
Pagsakit sang ginikanan sa ila 
nga anak
kagamohan kontra sa iban nga tawo
Terorismo bilang pamaagi nga pulitikal, ideolohikal, kag pangrelihiyon
Kaswal nga panghilawas"
