,language,lang,ALL_Q
19,Hindi,hi,"कृपया निम्नलिखित में से प्रत्येक कथन के बारे में उत्तर दें कि आप इनमें से प्रत्येक कथन से कितना सहमत या असहमत हैं ।  इन प्रश्नों के लिए, 1 का अर्थ है कि आप ""पूरी तरह से असहमत हैं"" और 10 का अर्थ है कि आप ""पूरी तरह से सहमत हैं । ""1 से 5 तक की रेटिंग का मतलब है कि आप निम्नलिखित कथन से असहमत हैं ।  6 से 10 तक की रेटिंग का मतलब है कि आप निम्नलिखित कथन से सहमत हैं ।  यदि आपको नहीं लगता कि कथन बिल्कुल सहमत या असहमत है, तो आप कथन को 5 या 6 अंकों के निशान के साथ रेट करेंगे । 
विज्ञान और प्रौद्योगिकी हमारे जीवन को स्वस्थ, आसान और अधिक आरामदायक बना रहे हैं । 
विज्ञान और प्रौद्योगिकी के कारण, अगली पीढ़ी के लिए अधिक अवसर होंगे । 
हम विज्ञान पर बहुत अधिक निर्भर हैं और विश्वास पर पर्याप्त नहीं हैं । 
विज्ञान का एक बुरा प्रभाव यह है कि यह सही और गलत के लोगों के विचारों को तोड़ता है । 
मेरे लिए अपने दैनिक जीवन में विज्ञान के बारे में जानना महत्वपूर्ण नहीं है । 
कृपया निम्नलिखित कार्यों में से प्रत्येक के बारे में उत्तर दें, चाहे आपको लगता है कि यह हमेशा उचित हो सकता है, कभी भी उचित नहीं हो सकता है, या इस पैमाने का उपयोग करने के बीच में कुछ:
रेटिंग 1 का मतलब कभी भी उचित नहीं होता है, रेटिंग 10 का मतलब हमेशा उचित होता है ।  1 से 5 तक की रेटिंग का मतलब है कि आपको लगता है कि निम्नलिखित कथन अनुचित है ।  6 से 10 तक की रेटिंग का मतलब है कि आपको लगता है कि निम्नलिखित कथन उचित है ।  आप कार्रवाई को 5 या 6 अंकों के निशान के साथ रेट करेंगे यदि आपको नहीं लगता कि कार्रवाई बिल्कुल उचित या अनुचित है । 
सरकारी लाभों का दावा करना जिसके आप हकदार नहीं हैं
सार्वजनिक परिवहन पर किराया से बचना
संपत्ति चोरी
यदि आपके पास मौका है तो करों पर धोखा देना
किसी ने अपने कर्तव्यों के दौरान रिश्वत स्वीकार की
समलैंगिकता
वेश्यावृत्ति
गर्भपात
तलाक
शादी से पहले सेक्स
आत्महत्या
इच्छामृत्यु
एक आदमी को अपनी पत्नी को पीटने के लिए
बच्चों की पिटाई करते माता-पिता
अन्य लोगों के खिलाफ हिंसा
एक राजनीतिक, वैचारिक या धार्मिक अर्थ के रूप में आतंकवाद
होने आकस्मिक सेक्स"
20,Igbo,ig,"Biko zaa gbasara nke ọ bụla n'ime nkwupụta ndị a, ole ị kwenyere ma ọ bụ kwenyeghị na nke ọ bụla n'ime nkwupụta ndị a. Maka ajụjụ ndị a, 1 pụtara na ị “kwenyeghị kpamkpam” yana 10 pụtara na ị “kwere kpamkpam.” Ntụle sitere na 1 ruo 5 pụtara na ị kwenyeghị na nkwupụta a. Ntụle sitere na 6 ruo 10 pụtara na ị kwenyere na nkwupụta ndị a. Ị ga-eji akara isi 5 ma ọ bụ 6 tụọ nkwupụta ahụ ma ọ bụrụ na i cheghị na nkwupụta a kwadoro ma ọ bụ ekwetaghị.
Sayensị na nkà na ụzụ na-eme ka ndụ anyị dịkwuo mma, dịkwuo mfe ma nwekwuo ntụsara ahụ.
N'ihi sayensị na teknụzụ, a ga-enwe ohere maka ọgbọ ọzọ.
Anyị na-adabere na nkà mmụta sayensị na ezughị oke n'okwukwe
Otu n'ime nsogbu ọjọọ nke sayensị bụ na ọ na-agbaji echiche ndị mmadụ banyere ihe ziri ezi na ihe ọjọọ.
Ọ dịghị mkpa ka m mara banyere sayensị na ndụ m kwa ụbọchị
Biko zaa ihe ndị a na-eme, ma ị chere na ọ ga-abụ ihe ziri ezi mgbe niile, enweghị ike ikwu eziokwu, ma ọ bụ ihe dị n'etiti site na iji usoro a.
Rating 1 pụtara na ọ ga-abụ ihe ziri ezi, ọkwa 10 pụtara mgbe niile. Ratings sitere na 1 ruo 5 ọ pụtara na ị chere nkwupụta ndị a bụ ihe naezighi ezi. Ngosipụta sitere na 6 ruo 10 ọ pụtara na ị chere nkwupụta ndị a bụ ihe ziri ezi. Would ga-egosi ihe ahụ na akara 5 ma ọ bụ 6 ma ọ bụrụ na ịnweghị uche na ihe a bụ eziokwu ma ọ bụ na-ezighi ezi.
Na-ekwu na gọọmentị uru nke ị na-agaghị arụ
Na-ezere ụgbọ njem na njem ọha
Izu ohi
Aghụghọ aghụghọ na ụtụ isi ma ọ bụrụ na ị nwere ohere
Onye na-anabata ihe iri ngo n'ụzọ ọrụ ha
Nwoke idina nwoke
Ịgba akwụna
Mwepu
ịgba alụkwaghịm, alukwaghim
Mmekọahụ Tupu Alụmdi na Nwunye
nkwugbu
Euthanasia
N'ihi na nwoke ka ọ ghaata nwunye ya
Ndị nne na nna na-akụ ụmụaka
Ime ihe ike megide ndị ọzọ
Iyi ọha egwu dịka nke ndọrọ ndọrọ ọchịchị ma ọ bụ nke okpukpe
Inwe Mmekọahụ Ọ Bụ"
21,Indonesian,id,"Harap jawab tentang masing-masing pernyataan berikut, seberapa besar Anda setuju atau tidak setuju dengan masing-masing pernyataan tersebut. Untuk pertanyaan-pertanyaan ini, angka 1 berarti Anda ""sama sekali tidak setuju"" dan angka 10 berarti Anda "" sepenuhnya setuju.""Peringkat dari 1 hingga 5 berarti Anda agak tidak setuju dengan pernyataan berikut. Peringkat dari 6 hingga 10 berarti Anda lebih setuju dengan pernyataan berikut. Anda akan menilai pernyataan tersebut dengan tanda 5 atau 6 poin jika menurut Anda pernyataan tersebut tidak benar-benar menyenangkan atau tidak menyenangkan.
Ilmu pengetahuan dan teknologi membuat hidup kita lebih sehat, mudah dan nyaman 
Ilmu pengetahuan dan teknologi memberikan lebih banyak kesempatan kepada 
generasi yang akan datang
Kita terlalu tergantung kepada ilmu pengetahuan dan kurang percaya kepada iman 
Salah satu efek buruk ilmu pengetahuan  adalah mengacaukan pandangan orang 
tentang benar dan salah 
Tidak penting bagi saya untuk tahu tentang ilmu pengetahuan dalam kehidupan sehari
hari 
Harap jawab tentang masing-masing tindakan berikut, apakah menurut Anda itu selalu dapat dibenarkan, tidak pernah dapat dibenarkan, atau sesuatu di antaranya menggunakan skala ini:
Peringkat 1 berarti tidak pernah dapat dibenarkan, peringkat 10 berarti selalu dapat dibenarkan. Peringkat dari 1 hingga 5 berarti menurut Anda pernyataan berikut ini agak tidak dapat dibenarkan. Peringkat dari 6 hingga 10 berarti menurut Anda pernyataan berikut ini cukup dapat dibenarkan. Anda akan menilai tindakan tersebut dengan tanda 5 atau 6 poin jika menurut Anda tindakan tersebut tidak dapat dibenarkan atau tidak dapat dibenarkan.
Menikmati fasilitas/bantuan dari pemerintah yang seharusnya I/B/S tidak berhak 
mendapatkannya
Menghindari membayar ongkos kendaraan umum
Mencuri  
Tidak membayar pajak jika ada kesempatan
Seseorang menerima suap dalam tugasnya 
Homoseksual (hubungan sesama jenis)
Prostitusi (pelacuran)
Aborsi
Perceraian
Seks sebelum nikah
Bunuh diri
Euthanasia – mengakhiri hidup karena penyakit yang tak dapat disembuhkan
Laki-laki memukuli istrinya 
Orang tua memukuli anaknya  
Kekerasan kepada orang lain 
Terorisme sebagai cara mencapai tujuan politik, ideologis dan agama  
Seks bebas"
22,Japanese,ja,"以下の各声明について、あなたがこれらの声明のそれぞれにどれだけ同意または同意しないかについて答えてください。 これらの質問では、1はあなたが「完全に同意しない」ことを意味し、10はあなたが「完全に同意する」ことを意味します。""1から5までの評価は、あなたがむしろ次の声明に同意しないことを意味します。 6から10までの評価は、あなたがむしろ次の声明に同意することを意味します。 声明が丁度快いまたは不愉快であることを考えなければ5つか6つのポイント印が付いている声明を評価する。
科学技術は、私たちの生活をより健康的で、より簡単で、より快適にしています。
科学技術のために、次の世代のためのより多くの機会があるでしょう。
私たちは科学に依存しすぎて、信仰には十分ではありません。
科学の悪い影響の1つは、それが人々の善悪の考えを破壊することです。
私の日常生活の中で科学について知ることは重要ではありません。

あなたはそれが常に正当化することができると思うかどうか、正当化することはできません、またはこのスケールを使用しての間に何か、次の各アクショ:
評価1は決して正当化されないことを意味し、評価10は常に正当化されることを意味します。 1から5までの評価は、次のステートメントがかなり不当であると思うことを意味します。 6から10までの評価は、次のステートメントがかなり正当であると思うことを意味します。 あなたは、アクションが正確に正当または不当であるとは思わない場合は、5または6ポイントマークでアクションを評価するだろう。
資格がないのに国の年金や医療給付などを要求する
公共交通機関の料金をごまかす
窃 盗
脱 税
仕事に関連してワイロを受け取る
同性愛
売春
妊娠中絶
離婚
結婚前のセックス
自 殺
安楽死
夫による妻への暴力
親による子どもへの暴力
他人への暴力
政治的、イデオロギー的、または宗教的手段としてのテロ行為
カジュアルなセックスをしています"
23,Kazakh,kk,"Төмендегі мәлімдемелердің әрқайсысы туралы жауап беріңіз, сіз осы мәлімдемелердің әрқайсысымен қаншалықты келісесіз немесе келіспейсіз. Осы сұрақтар бойынша 1-ге ""мүлдем келіспейтіндігіңізді"", ал 10-ға ""толық келісетіндігіңізді"" білдіреді.""1-ден 5-ке дейінгі рейтингтер сіздің келесі мәлімдемемен келіспейтіндігіңізді білдіреді. 6-дан 10-ға дейінгі рейтингтер келесі мәлімдемемен келісетініңізді білдіреді. Егер сіз мәлімдемені дәл сәйкес немесе келіспейтін деп санамасаңыз, мәлімдемені 5 немесе 6 баллдық белгімен бағалайтын едіңіз.
Ғылым мен технологиялар өмірімізді сау,  
жеңіл, жайлы етеді
Ғылым мен технологиялардың арқасында  
жастардың мүмкіндіктері көбірек болады
Біз сенімге қарағанда ғылымға көбірек 
   үміт артамыз
Ғылымның дамуының теріс салдарының  
Бірі адамдардың жақсы мен жаманды  
ажырата алмауы болып табылады
Менің күнделікті өмірім үшін ғылыми  
         білімнің қажеті жоқ 
Төмендегі әрекеттердің әрқайсысы туралы жауап беріңіз, сіз оны әрқашан ақтауға болады деп ойлайсыз ба, ешқашан ақтауға болмайды ма, әлде осы шкаланы қолдану арасында бір нәрсе бар ма:
1-рейтинг ешқашан ақталмайтынын білдіреді, 10-рейтинг әрқашан ақталатынын білдіреді. 1-ден 5-ке дейінгі рейтингтер келесі мәлімдемені негізсіз деп санайтыныңызды білдіреді. 6-дан 10-ға дейінгі рейтингтер келесі мәлімдемені өте орынды деп санайтыныңызды білдіреді. Егер сіз бұл әрекетті дәл ақтауға немесе ақтауға болмайды деп ойламасаңыз, әрекетті 5 немесе 6 ұпаймен бағалайтын едіңіз.
Адамның құқығы жоқ  
жәрдемақылар алуы
Қоғамдық көлікте  
ақы төлемей жүру
Біреудің меншігін ұрлау
Егер мүмкін болса, салық төлемеу
Қызметтік жағдайын пайдаланып,  
пара алу
Гомосексуализм
Жезөкшелік
Аборт
Ажырасу
Некеге дейінгі төсек қатынастары
Өзін өзі өлтіру
Эвтаназия, яғни жазылмайтын  
аурумен ауыратын адамды келісімі  
бойынша өлтіру
Күйеуі әйелін ұратын болса
Егер ата-аналары балаларын ұратын болса
Басқа адамдарға қарсы зорлық
Терроризмді саяси, идеологиялық немесе діни күресте қолдану
Кездейсоқ сексуалды байланыстар"
24,Kirghiz (Kyrgyz),ky,"Сураныч, төмөнкү билдирүүлөрдүн ар бири жөнүндө жооп бериңиз, бул билдирүүлөрдүн ар бири менен канчалык макул же макул эмессиз. Бул суроолор үчүн а 1 сиз ""толугу менен макул эмессиз"" дегенди билдирет, ал эми а 10 ""толугу менен макул"" дегенди билдирет.""1ден 5ке чейинки рейтингдер төмөнкү билдирүүгө макул эместигиңизди билдирет. 6дан 10го чейинки рейтингдер сиз төмөнкү билдирүүгө макул экениңизди билдирет. Эгерде Сиз билдирүүнү так жагымдуу же жагымсыз деп эсептебесеңиз, анда сиз билдирүүнү 5 же 6 балл белгиси менен баалайсыз.
Илим жана технологиялар биздин жашообузду сергегирээк, оңойураак жана жайлуураак кылат
Илим жана технологиялардын жардамы менен жаңы муундун мүмкүнчүлүктөрү көбүрөөк болот
Биз илимге көбүрөөк жана динге азыраак таянабыз
Илимдин өнүгүшүнүн бир терс жагы, адамдар 
жакшылык менен жамандыкты айырмалай калбай 
калганы саналат 
Менин күндөлүк жашоомдо илимий билимдердин 
кереги жок
Сураныч, төмөнкү иш-аракеттердин ар бири жөнүндө жооп бериңиз, ал ар дайым акталышы мүмкүн деп ойлойсузбу, эч качан акталышы мүмкүн эмес, же ушул масштабды колдонуунун ортосунда бир нерсе болушу мүмкүн:
1 рейтинги эч качан акталбайт, 10 рейтинги ар дайым акталуучу дегенди билдирет. 1ден 5ке чейинки рейтингдер төмөнкү билдирүүнү негизсиз деп эсептейт. 6дан 10го чейинки рейтингдер төмөнкү билдирүүнү актоого болот деп ойлойсуз. Эгерде сиз иш-аракетти туура же негизсиз деп эсептебесеңиз, анда сиз иш-аракетти 5 же 6 балл белгиси менен баалайсыз.
Адам ага укугу жок мамлекеттик жөлөк пулдарды алышы
Коомдук транспортто акысыз жүрүү
Башка адамдын менчигин уурдоо
Эгерде мындай мүмкүнчүлүк  болсо, салыктарды төлөбөө 
Кызмат абалын колдонуп пара алуу  
Гомосексуализм
Сойкулук
Аборт
Ажырашуу
Никеге чейинки сексуалдык мамиле
Өзүн өзү өлтүрүү 
Эвтаназия, б.а. айыкпас оорулуунун макулдугу менен анын өмүрүн кыюу
Эгерде күйөөсү аялын урса
Эгерде ата эне балдарын урса
Башка адамдарга карата зомбулук 
Саясий, идеологиялык же диний күрөштө терроризмди колдонуу
Кокусунан болгон сексуалдык байланыштар"
25,Korean,ko,"다음 각 진술에 대해 얼마나 동의하거나 동의하지 않는지 답변해 주세요. 이 질문들에 대해 1은 ""전적으로 동의하지 않음""을 의미하고 10은 ""전적으로 동의함""을 의미합니다. 1~5점은 다음 진술에 동의하지 않음을 의미합니다. 6~10점은 다음 진술에 동의함을 의미합니다. 진술이 정확히 동의하거나 동의하지 않는다고 생각되면 진술을 5점 또는 6점으로 평가합니다.
과학과 기술은 인간의 생활을 더욱 건강하게, 편리하게, 안락하게 할 것이다
과학과 기술은 다음 세대에 더 많은 기회를 제공할 것이다
우리는 신앙과 믿음보다는 과학에 지나치게 의지한다.
 과학의 나쁜 영향 중 하나는 사람들의 옳고 그름에 대한 판단을 무너뜨린다는 것이다
나에게는 일상생활에서 과학에 대해 아는 것이 중요하지 않다. 
항상 정당화 될 수 있다고 생각하든,정당화 될 수 없다고 생각하든,또는 이 척도를 사용하는 사이에 있는 것에 대해 다음 각 작업에 대해 답변하십시오:
등급 1 은 결코 정당화되지 않는다는 것을 의미하고,등급 10 은 항상 정당화된다는 것을 의미합니다. 1 에서 5 까지의 등급은 다음 진술이 다소 정당하다고 생각한다는 것을 의미합니다. 6 에서 10 까지의 등급은 다음 진술이 정당하다고 생각한다는 것을 의미합니다. 액션이 정확히 정당하거나 정당하지 않다고 생각하지 않으면 5 점 또는 6 점으로 액션을 평가합니다.
자격 미달자가 국가의 혜택을 받는 경우
무임승차
재산을 훔치는 것
탈세
뇌물수수를 받아들이는 사람
동성애
매춘
낙태
이혼
혼전 성관계
자살
안락사
부인를 구타하는 행위
자식을 때리는 부모
타인에 대한 폭행
정치, 이데올로기, 종교적 수단로서의 테러
무절제한 성관계"
26,Malay (Malaysian),ms,"Sila jawab tentang setiap pernyataan berikut, sejauh mana anda bersetuju atau tidak bersetuju dengan setiap pernyataan ini. Untuk soalan ini, 1 bermakna anda ""sangat tidak bersetuju"" dan 10 bermakna anda ""setuju sepenuhnya"". Penilaian dari 1 hingga 5 bermakna anda tidak bersetuju dengan pernyataan berikut. Penilaian dari 6 hingga 10 bermakna anda lebih bersetuju dengan pernyataan berikut. Anda akan menilai pernyataan itu dengan markah 5 atau 6 mata jika anda tidak fikir pernyataan itu betul-betul bersetuju atau tidak bersetuju.
Sains dan teknologi menjadikan kehidupan kita lebih sihat, mudah dan selesa.
Oleh kerana sains dan teknologi, lebih banyak peluang akan wujud untuk generasi akan datang.
Kita terlalu banyak bergantung pada sains dan kurang berharap pada keimanan
Salah satu kesan-kesan buruk sains adalah ia menjejaskan pemikiran tentang kebenaran dan kebatilan
Adalah tidak penting untuk mengenal sains untuk kehidupan seharian saya.
Sila jawab tentang setiap tindakan berikut, sama ada anda fikir ia sentiasa boleh dibenarkan, tidak boleh dibenarkan, atau sesuatu di antara menggunakan skala ini:
Rating 1 bermakna tidak boleh dibenarkan, rating 10 bermakna sentiasa boleh dibenarkan. Penilaian dari 1 hingga 5 bermaksud bahawa anda menganggap pernyataan berikut agak tidak dapat dibenarkan. Penilaian dari 6 hingga 10 bermakna anda fikir pernyataan berikut agak wajar. Anda akan menilai tindakan dengan tanda 5 atau 6 mata jika anda tidak fikir tindakan itu betul-betul wajar atau tidak wajar.
Menuntut faedah kerajaan yang bukan hak milik anda
Mengelak membayar tambang pengangkutan awam
Mencuri harta
Menipu membayar cukai jika berpeluang
Menerima rasuah semasa bekerja
Homseksual
Pelacuran
Pengguran anak
Perceraian
Hubungan seks sebelum berkahwin
Bunuh diri
Eutanasia
Bagi seorang lelaki untuk memukul isterinya
Ibu bapa memukul anak
Keganasan terhadap orang lain
Keganasan sebagai alat politik, ideologi atau agama
Mempunyai seks rambang "
27,Mongolian,mn,"Эдгээр мэдэгдэл тус бүртэй хэр их санал нийлж байгаа эсвэл санал нийлэхгүй байгаа талаар дараах мэдэгдэл тус бүрийн талаар хариулна уу. Эдгээр асуултын хувьд 1 нь та "" бүрэн санал нийлэхгүй ""гэсэн үг бөгөөд 10 нь"" бүрэн санал нийлж байна "" гэсэн үг юм.""1-ээс 5 хүртэлх үнэлгээ нь та дараах мэдэгдэлтэй санал нийлэхгүй байна гэсэн үг юм. 6-аас 10 хүртэлх үнэлгээ нь та дараах мэдэгдлийг хүлээн зөвшөөрч байна гэсэн үг юм. Хэрэв та мэдэгдлийг яг нийцтэй эсвэл санал нийлэхгүй гэж бодохгүй байгаа бол 5 эсвэл 6 онооны тэмдэг бүхий мэдэгдлийг үнэлэх болно.
Шинжлэх ухаан, технологи биднийг илүү эрүүл бөгөөд бидний амьдралыг илүү амар тайван, 
тав тухтай болгож байна. 
Шинжлэх ухаан, технологийн ачаар бидний хойч үе илүү боломж бололцоотой болно.  
Бид шинжлэх ухаанд хэтэрхий их найдаж харин итгэл үнэмшил, сүсэг бишрэлд хангалттай 
найддаггүй. 
Шинжлэх ухааны нэг муу нөлөө бол хүмүүсийн зөв, буруугын талаарх ойлголтыг сүйтгэж 
байна. 
Шинжлэх ухааны талаар мэдэж байх нь миний өдөр тутмын амьдралд чухал биш.  
Дараах үйлдэл тус бүрийн талаар хариулна уу, энэ нь үргэлж зөвтгөгдөж болно гэж бодож байгаа эсэх, хэзээ ч зөвтгөгдөж чадахгүй, эсвэл энэ масштабыг ашиглах хооронд ямар нэгэн зүйл:
Үнэлгээ 1 гэдэг нь хэзээ ч зөвтгөгдөхгүй, үнэлгээ 10 гэдэг нь үргэлж зөвтгөгдөнө гэсэн үг. 1-ээс 5 хүртэлх үнэлгээ нь дараах мэдэгдлийг үндэслэлгүй гэж бодож байна гэсэн үг юм. 6 - аас 10 хүртэлх үнэлгээ нь дараахь мэдэгдлийг үндэслэлтэй гэж бодож байна гэсэн үг юм. Хэрэв та үйлдлийг яг үндэслэлтэй эсвэл үндэслэлгүй гэж бодохгүй байгаа бол үйлдлийг 5 эсвэл 6 онооны тэмдгээр үнэлэх болно.
Та авах эрхгүй засгийн газрын тэтгэмжийг 
авах.
Нийтийн тээвэрт мөнгө төлөлгүй явах. 
Бусдын эд хөрөнгийг хулгайлах. 
Боломж гарвал татвараас зайлсхийх. 
Албан тушаал хашиж байх үедээ хээл хахууль 
авах. 
Ижил хүйстэн
Биеэ үнэлэх
Аборт хийлгэх буюу хүүхэд авхуулах.
Салалт
Гэрлэлтээс өмнөх бэлгийн харьцаа
Амиа хорлолт 
Зовлон шаналалаас нь салгахын тулд 
эдгэрэшгүй өвчинтэй хүмүүсийг үхүүлэх. 
Нөхөр нь эхнэртээ гар хүрэх, зодох 
Эцэг, эх хүүхдээ зодох 
Бусад хүмүүст хүчирхийлэл үйлдэх. 
Улс төрийн, үзэл бодлын эсвэл шашны 
үндэслэлтэй алан хядах үйл ажиллагаа
Нэг удаагийн, санамсаргүй бэлгийн харьцаанд орох."
28,North Ndebele,nd,"Ngicela uphendule ngalesi sisho, ubuze ukuthi uthanda kangakanani noma ungathandi kangakanani lezi zisho ezilandelayo. Kulokhu, i-1 kusho ukuthi ""uwuphikisa ngokuphelele"" kanti i-10 kusho ukuthi ""uwuvuma ngokuphelele."" Izilinganiso ezivela ku-1 kuya ku-5 zisho ukuthi uthanda ukuvuma ukuthi awuvumi ngalokhu. Izilinganiso ezivela ku-6 kuya ku-10 zisho ukuthi uthanda ukuvuma ukuthi uvuma ngalokhu. Ungabeka isilinganiso esingu-5 noma 6 uma ungacabangi ukuthi lesi sisho sikhona ngokuphelele noma sikhona ngokuphelele.
 iScience letechnology sokwenze saba lempilakahle, impilo zethu zaba lula njalo zehlisa imithwalo.
 Ngenxa yescience letechnology, kuzabe kulamathuba amanengi ezizukulwaneni zethu.
 Sikholwa kakhulu kuscience ukwedlula inkolo
zethu.
Iscience
iyaphazamisa ukuthi abantu babekwazi okuhle lokubi.
Kuqakathekile na ukuthi ngibekwazi
ngeScience ensukwini zonke engiziphilayo.
Ngicela uphendule mayelana nezenzo ezilandelayo, ukuthi ucabanga ukuthi zingahlale zithethelelwa, azisoze zathethelelwa, noma zingaphakathi kwalokho, usebenzisa lesi sikala:
Isilinganiso 1 sitsho ukuthi asisoze sathethelelwa.
Isilinganiso 10 sitsho ukuthi sihlala sithethelelwa.
Izilinganiso ezisuka ku-1 kuya ku-5 zitsho ukuthi ucabanga ukuthi lesi senzo asithetheleleki kakhulu.
Izilinganiso ezisuka ku-6 kuya ku-10 zitsho ukuthi ucabanga ukuthi lesi senzo sithethelelekile.
Ungakhetha inani elingu-5 noma 6 uma ungacacisisi ukuthi isenzo sithethelelekile noma asithetheleleki.
Ukuthatha into zikahulumende ezingakufanelanga
Ukubalekela
ukubhadala imali nxa ugade imitshova kanye lamabhasi
Ukutshontsha
Ubuqili
emithelweni ma uthole ithuba
Ukwamukela inkohliso (bribe) emsebenzini
Ubutabane
Ubufebe
Ukukhipha isisu 
Ukuphuma emtshadweni 
Ukulala lomuntu lingatshadanga 
Ukuzibulala
Ukuphumuza umuntu nxa esegulela ukufa
sokusele udokoza esizwa ubuhlungu obukhulu
Ukuthi indoda itshaye umfazi
Abazali batshaye abantwana
Ukuba lodudlwangudlwangu
Ukusebenzisa iTerrorism njengepolitics, ideology kumbe
inkolo.
Ukulala lomuntu loba ungamthandi, lizikholisela nje"
29,Oromo,om,"Mee ibsa armaan gadii hunda irratti deebii kennaa, meeqa itti waliigaluu ykn waliigaluu dhiisuu akka qabdan ibsaa. Gaaffilee kanniin keessatti, 1 jechuun “guutumaan guutuutti hin waliigalu” jechuudha, 10 immoo “guutumaan guutuutti waliigala” jechuudha. Lakkoofsi 1 hanga 5tti ibsuun, ibsa armaan gadii waliin waliigaluu dhiisu kee mul’isa. Lakkoofsi 6 hanga 10tti immoo ibsa armaan gadii waliin waliigaluu kee agarsiisa. Yoo ibsi sun sirriitti waliigaluu ykn waliigaluu dhiisu akka hin fakkaanne yaadde, lakkoofsi 5 yookaan 6tti sadarkaa kennuu dandeessa.
Saayinsii fi teekinooloojiin jireenya keenya salphaa, fayya qabeessaa fi mijataa gochaa jiru.
Sababa saayinsii fi teekinooloojiin dhalootni itti aanu carraa gaarii qaba.
Amantaarratti otoo hinta’in irra caalaan saayinsiifi teekinooloojii irratti hirkanna.
Dhiibban gadhee saayinsiin qabu keessaa, wanta yaada namoonni kun sirriidha kun dogoggora jedhan cabsa.
Jireenyakoo guyyaa guyyaa keessatti waa’ee saayinsii beekuun barbaachisaa miti
Mee waa’ee gochoota armaan gadii tokkoon tokkoon isaanii, yeroo hunda sirrii ta’uu danda’a jettanii yaaddan, gonkumaa haqa qabeessa ta’uu hin danda’an, ykn iskeelii kana fayyadamuu gidduutti waan tokko deebii kenni.
Sadarkaa 1 jechuun gonkumaa haqa hin qabu jechuudha, sadarkaa 10 jechuun yeroo hunda haqa qabeessa jechuudha. Sadarkaan 1 irraa gara 5tti kennamu ibsi armaan gadii kun baay’ee kan hin malle ta’a jettanii yaaddu jechuudha. Sadarkaan 6 hanga 10tti kennamu ibsi armaan gadii kun baay’ee sirrii dha jettee yaadda. Gochi sun sirriitti haqa qabeessa ykn sababa kan hin qabne ta'uu isaa yoo hin yaadne mallattoo qabxii 5 ykn 6n madaaltu turte.
Fayidaa siif hin eeyyamamne mootummaa irraa argachuu
Kaffaltii malee geejiba uummataatti fayyadamuu
Hanna
Carraa argameen gibira dhoksuu
Bakka hojiitti matta’aa fudhachuu
Walqunnamtii saalaa saala walfakkatu gidduutti taasifamu
Sagaagaltummaa
Ulfa (ofirraa) baasuu
Haadhamanaa/abbaa manaa hiikuu
Gaa’ela dura qunnamtii saalaa godhuu
Ofajjeesuu
Nama dhibee hinfayyine qabu akka du’uuf gargaaruu
Abbaan manaa haadha manaasaa reebuu
Maatiin daa’imman isaanii reebuu
Namoota biraa irratti hokkorii uumuu
Shororkeessummaa akka kallattii siyaasaa, ykn amantaatti fayyadamuu
Walquunnamtii saalaa ofeeggannoo hinqabne raawwachuu"
